model,dataset,n_samples,overall_bacc,avg_doc_tokens,inference_time_s,samples_per_minute
Bespoke-MiniCheck-7B,ExpertQA,3702,58.18,432.9,319.3,695.7
Bespoke-MiniCheck-7B,RAGTruth,16371,84.09,411.6,1217.77,806.6
Bespoke-MiniCheck-7B,SciFact,188,75.86,56.7,3.66,3083.2
Bespoke-MiniCheck-7B,SummHay,100,100.0,74487.6,1542.09,3.9
Bespoke-MiniCheck-7B,TofuEval-MediaS,726,75.89,778.3,82.32,529.1
flan-t5-large,ExpertQA,3702,58.95,432.9,193.22,1149.6
flan-t5-large,RAGTruth,16371,77.98,411.6,795.78,1234.3
flan-t5-large,SciFact,188,71.09,56.7,5.54,2036.6
flan-t5-large,SummHay,100,100.0,74487.6,434.1,13.8
flan-t5-large,TofuEval-MediaS,726,73.58,778.3,45.27,962.2
flan-t5-large,Lfqa,100,88.31,319.6,3.79,1582.6
flan-t5-large,TofuEval-MeetB,100,79.38,791.7,6.97,861.4
Gemma-4-26B,ExpertQA,20,55.0,556.0,91.8,13.1
