model,dataset,bin_label,bin_min,n,bacc,avg_doc_tokens
Bespoke-MiniCheck-7B,ExpertQA,0-500,0,3241,58.67,143.8
Bespoke-MiniCheck-7B,ExpertQA,500-1000,500,118,53.67,731.1
Bespoke-MiniCheck-7B,ExpertQA,1000-2000,1000,148,48.11,1444.9
Bespoke-MiniCheck-7B,ExpertQA,2000-4000,2000,124,59.06,2818.9
Bespoke-MiniCheck-7B,ExpertQA,4000+,4000,71,55.65,6857.6
Bespoke-MiniCheck-7B,Lfqa,0-500,0,99,93.83,317.5
Bespoke-MiniCheck-7B,Lfqa,500-1000,500,1,,521.0
Bespoke-MiniCheck-7B,RAGTruth,0-500,0,12838,84.04,300.5
Bespoke-MiniCheck-7B,RAGTruth,500-1000,500,2866,84.51,720.8
Bespoke-MiniCheck-7B,RAGTruth,1000-2000,1000,667,81.39,1222.0
Bespoke-MiniCheck-7B,SciFact,0-500,0,188,75.86,56.7
Bespoke-MiniCheck-7B,SummHay,4000+,4000,100,100.0,74487.6
Bespoke-MiniCheck-7B,TofuEval-MediaS,500-1000,500,726,75.89,778.3
Bespoke-MiniCheck-7B,TofuEval-MeetB,500-1000,500,82,70.0,736.1
Bespoke-MiniCheck-7B,TofuEval-MeetB,1000-2000,1000,18,78.75,1044.9
flan-t5-large,ExpertQA,0-500,0,3241,58.55,143.8
flan-t5-large,ExpertQA,500-1000,500,118,61.56,731.1
flan-t5-large,ExpertQA,1000-2000,1000,148,49.43,1444.9
flan-t5-large,ExpertQA,2000-4000,2000,124,66.83,2818.9
flan-t5-large,ExpertQA,4000+,4000,71,62.56,6857.6
flan-t5-large,Lfqa,0-500,0,99,88.26,317.5
flan-t5-large,Lfqa,500-1000,500,1,,521.0
flan-t5-large,RAGTruth,0-500,0,12838,78.13,300.5
flan-t5-large,RAGTruth,500-1000,500,2866,77.48,720.8
flan-t5-large,RAGTruth,1000-2000,1000,667,73.7,1222.0
flan-t5-large,SciFact,0-500,0,188,71.09,56.7
flan-t5-large,SummHay,4000+,4000,100,100.0,74487.6
flan-t5-large,TofuEval-MediaS,500-1000,500,726,73.58,778.3
flan-t5-large,TofuEval-MeetB,500-1000,500,82,69.29,736.1
flan-t5-large,TofuEval-MeetB,1000-2000,1000,18,95.0,1044.9
